postcode,population,mean_age,perc_foreigners,salary
587,4609,45,0.01,16142.0
588,1130,50,0.01,15862.0
589,382,52,0.03,15065.0
590,192,48,0.0,7571.0
591,391,49,0.02,14803.0
592,756,38,0.01,18569.0
593,135,49,0.02,14803.0
594,1017,44,0.01,17017.0
595,1257,46,0.03,15336.0
596,3624,43,0.04,15772.0
597,2170,47,0.02,14950.0
598,12881,41,0.2,23371.0
599,2556,40,0.06,18515.0
600,3812,41,0.03,17514.0
601,1693,46,0.54,18764.0
602,2324,40,0.15,19043.0
603,4831,40,0.13,20523.0
604,4210,37,0.16,26849.0
605,41445,41,0.4,21483.0
606,29718,49,0.72,19205.0
607,13536,48,0.66,19836.0
608,9771,52,0.86,18398.0
609,4951,41,0.41,20603.0
610,5568,45,0.7,19724.0
611,3320,42,0.51,20350.0
612,1160,49,0.6,18961.0
613,1731,46,0.59,19599.0
614,20660,43,0.57,20267.0
615,1187,46,0.64,20652.0
616,5521,46,0.76,19247.0
617,5104,47,0.78,18905.0
618,6283,41,0.31,20835.0
619,849,43,0.5,21429.0
620,7659,41,0.34,21667.0
621,1326,46,0.51,19656.0
622,12,46,0.01,23372.0
623,415,46,0.01,23368.0
624,3188,42,0.11,25769.0
625,6195,41,0.09,25254.0
626,15,50,0.04,26576.0
627,520,43,0.09,22727.0
628,6824,40,0.1,29653.0
629,2492,40,0.09,26565.0
630,869,36,0.05,19809.0
631,23871,39,0.03,20033.0
632,9920,38,0.05,20777.0
633,7314,37,0.03,30928.0
634,4590,38,0.02,20197.0
635,2976,39,0.01,19987.0
636,7469,37,0.02,20355.0
637,27467,34,0.12,27435.0
638,24661,40,0.12,29344.0
639,5393,46,0.13,26004.0
640,7877,44,0.11,27482.0
641,15717,41,0.11,25778.0
642,13197,39,0.08,31560.0
643,19666,39,0.08,32089.0
644,10276,44,0.09,28454.0
645,50322,33,0.09,29648.0
646,21726,45,0.17,24354.0
647,15723,41,0.11,27467.0
648,13572,40,0.1,31374.0
649,732,46,0.07,23292.0
650,430,50,0.04,25947.0
